"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"11","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1","rf",252,106,20,"noProc",11,0.873015873015873,0.828337874659401,0.830188679245283,0.769954183747287,0.744966607558923,0.89614085088762,0.311320754716981,3.2554988377443e-28,NA,0.939393939393939,0.833333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.909090909090909,0.941860465116279,0.911764705882353,0.869565217391304,0.78125,0.705882352941177,0.972222222222222,0.951807228915663,0.945945945945946,0.910112359550562,0.911764705882353,0.869565217391304,0.78125,0.705882352941177,0.939393939393939,0.833333333333333,0.862068965517241,0.6,0.925373134328358,0.851063829787234,0.819672131147541,0.648648648648649,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.188679245283019,0.235849056603774,0.113207547169811,0.320754716981132,0.216981132075472,0.30188679245283,0.160377358490566,0.94914902449149,0.898373983739837,0.885579937304075,0.77093023255814
"12","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1","rf",252,106,20,"noProc",12,0.880952380952381,0.839005068358959,0.830188679245283,0.769954183747287,0.744966607558923,0.89614085088762,0.311320754716981,3.2554988377443e-28,NA,0.939393939393939,0.833333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.909090909090909,0.941860465116279,0.911764705882353,0.869565217391304,0.78125,0.705882352941177,0.972222222222222,0.951807228915663,0.945945945945946,0.910112359550562,0.911764705882353,0.869565217391304,0.78125,0.705882352941177,0.939393939393939,0.833333333333333,0.862068965517241,0.6,0.925373134328358,0.851063829787234,0.819672131147541,0.648648648648649,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.188679245283019,0.235849056603774,0.113207547169811,0.320754716981132,0.216981132075472,0.30188679245283,0.160377358490566,0.94914902449149,0.898373983739837,0.885579937304075,0.77093023255814
"13","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1","rf",252,106,20,"noProc",13,0.876984126984127,0.833720014473936,0.830188679245283,0.769954183747287,0.744966607558923,0.89614085088762,0.311320754716981,3.2554988377443e-28,NA,0.939393939393939,0.833333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.909090909090909,0.941860465116279,0.911764705882353,0.869565217391304,0.78125,0.705882352941177,0.972222222222222,0.951807228915663,0.945945945945946,0.910112359550562,0.911764705882353,0.869565217391304,0.78125,0.705882352941177,0.939393939393939,0.833333333333333,0.862068965517241,0.6,0.925373134328358,0.851063829787234,0.819672131147541,0.648648648648649,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.188679245283019,0.235849056603774,0.113207547169811,0.320754716981132,0.216981132075472,0.30188679245283,0.160377358490566,0.94914902449149,0.898373983739837,0.885579937304075,0.77093023255814
"14","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1","rf",252,106,20,"noProc",14,0.880952380952381,0.839005068358959,0.830188679245283,0.769954183747287,0.744966607558923,0.89614085088762,0.311320754716981,3.2554988377443e-28,NA,0.939393939393939,0.833333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.909090909090909,0.941860465116279,0.911764705882353,0.869565217391304,0.78125,0.705882352941177,0.972222222222222,0.951807228915663,0.945945945945946,0.910112359550562,0.911764705882353,0.869565217391304,0.78125,0.705882352941177,0.939393939393939,0.833333333333333,0.862068965517241,0.6,0.925373134328358,0.851063829787234,0.819672131147541,0.648648648648649,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.188679245283019,0.235849056603774,0.113207547169811,0.320754716981132,0.216981132075472,0.30188679245283,0.160377358490566,0.94914902449149,0.898373983739837,0.885579937304075,0.77093023255814
"15","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1","rf",252,106,20,"noProc",15,0.880952380952381,0.838987924094307,0.830188679245283,0.769954183747287,0.744966607558923,0.89614085088762,0.311320754716981,3.2554988377443e-28,NA,0.939393939393939,0.833333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.909090909090909,0.941860465116279,0.911764705882353,0.869565217391304,0.78125,0.705882352941177,0.972222222222222,0.951807228915663,0.945945945945946,0.910112359550562,0.911764705882353,0.869565217391304,0.78125,0.705882352941177,0.939393939393939,0.833333333333333,0.862068965517241,0.6,0.925373134328358,0.851063829787234,0.819672131147541,0.648648648648649,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.188679245283019,0.235849056603774,0.113207547169811,0.320754716981132,0.216981132075472,0.30188679245283,0.160377358490566,0.94914902449149,0.898373983739837,0.885579937304075,0.77093023255814
"16","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1","rf",252,106,20,"noProc",16,0.876984126984127,0.833720014473936,0.830188679245283,0.769954183747287,0.744966607558923,0.89614085088762,0.311320754716981,3.2554988377443e-28,NA,0.939393939393939,0.833333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.909090909090909,0.941860465116279,0.911764705882353,0.869565217391304,0.78125,0.705882352941177,0.972222222222222,0.951807228915663,0.945945945945946,0.910112359550562,0.911764705882353,0.869565217391304,0.78125,0.705882352941177,0.939393939393939,0.833333333333333,0.862068965517241,0.6,0.925373134328358,0.851063829787234,0.819672131147541,0.648648648648649,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.188679245283019,0.235849056603774,0.113207547169811,0.320754716981132,0.216981132075472,0.30188679245283,0.160377358490566,0.94914902449149,0.898373983739837,0.885579937304075,0.77093023255814
"17","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1","rf",252,106,20,"noProc",17,0.880952380952381,0.839053052882568,0.830188679245283,0.769954183747287,0.744966607558923,0.89614085088762,0.311320754716981,3.2554988377443e-28,NA,0.939393939393939,0.833333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.909090909090909,0.941860465116279,0.911764705882353,0.869565217391304,0.78125,0.705882352941177,0.972222222222222,0.951807228915663,0.945945945945946,0.910112359550562,0.911764705882353,0.869565217391304,0.78125,0.705882352941177,0.939393939393939,0.833333333333333,0.862068965517241,0.6,0.925373134328358,0.851063829787234,0.819672131147541,0.648648648648649,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.188679245283019,0.235849056603774,0.113207547169811,0.320754716981132,0.216981132075472,0.30188679245283,0.160377358490566,0.94914902449149,0.898373983739837,0.885579937304075,0.77093023255814
"18","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1","rf",252,106,20,"noProc",18,0.880952380952381,0.839005068358959,0.830188679245283,0.769954183747287,0.744966607558923,0.89614085088762,0.311320754716981,3.2554988377443e-28,NA,0.939393939393939,0.833333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.909090909090909,0.941860465116279,0.911764705882353,0.869565217391304,0.78125,0.705882352941177,0.972222222222222,0.951807228915663,0.945945945945946,0.910112359550562,0.911764705882353,0.869565217391304,0.78125,0.705882352941177,0.939393939393939,0.833333333333333,0.862068965517241,0.6,0.925373134328358,0.851063829787234,0.819672131147541,0.648648648648649,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.188679245283019,0.235849056603774,0.113207547169811,0.320754716981132,0.216981132075472,0.30188679245283,0.160377358490566,0.94914902449149,0.898373983739837,0.885579937304075,0.77093023255814
"19","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1","rf",252,106,20,"noProc",19,0.873015873015873,0.828323256408073,0.830188679245283,0.769954183747287,0.744966607558923,0.89614085088762,0.311320754716981,3.2554988377443e-28,NA,0.939393939393939,0.833333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.909090909090909,0.941860465116279,0.911764705882353,0.869565217391304,0.78125,0.705882352941177,0.972222222222222,0.951807228915663,0.945945945945946,0.910112359550562,0.911764705882353,0.869565217391304,0.78125,0.705882352941177,0.939393939393939,0.833333333333333,0.862068965517241,0.6,0.925373134328358,0.851063829787234,0.819672131147541,0.648648648648649,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.188679245283019,0.235849056603774,0.113207547169811,0.320754716981132,0.216981132075472,0.30188679245283,0.160377358490566,0.94914902449149,0.898373983739837,0.885579937304075,0.77093023255814
"20","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1","rf",252,106,20,"noProc",20,0.884920634920635,0.844325153374233,0.830188679245283,0.769954183747287,0.744966607558923,0.89614085088762,0.311320754716981,3.2554988377443e-28,NA,0.939393939393939,0.833333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.909090909090909,0.941860465116279,0.911764705882353,0.869565217391304,0.78125,0.705882352941177,0.972222222222222,0.951807228915663,0.945945945945946,0.910112359550562,0.911764705882353,0.869565217391304,0.78125,0.705882352941177,0.939393939393939,0.833333333333333,0.862068965517241,0.6,0.925373134328358,0.851063829787234,0.819672131147541,0.648648648648649,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.188679245283019,0.235849056603774,0.113207547169811,0.320754716981132,0.216981132075472,0.30188679245283,0.160377358490566,0.94914902449149,0.898373983739837,0.885579937304075,0.77093023255814
