"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"11","Phase ~ d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","rf",252,106,5,"noProc",11,0.273809523809524,0.016192,0.320754716981132,0.0715328467153284,0.233391217085085,0.418429301265336,0.311320754716981,0.453075415473102,0.613846202993441,0.484848484848485,0.291666666666667,0.310344827586207,0.1,0.643835616438356,0.841463414634146,0.727272727272727,0.86046511627907,0.380952380952381,0.35,0.3,0.142857142857143,0.734375,0.802325581395349,0.736842105263158,0.804347826086957,0.380952380952381,0.35,0.3,0.142857142857143,0.484848484848485,0.291666666666667,0.310344827586207,0.1,0.426666666666667,0.318181818181818,0.305084745762712,0.117647058823529,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.150943396226415,0.0660377358490566,0.0849056603773585,0.0188679245283019,0.39622641509434,0.188679245283019,0.283018867924528,0.132075471698113,0.56434205064342,0.566565040650406,0.518808777429467,0.480232558139535
"12","Phase ~ d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","rf",252,106,5,"noProc",12,0.277777777777778,0.0212965729162221,0.320754716981132,0.0715328467153284,0.233391217085085,0.418429301265336,0.311320754716981,0.453075415473102,0.613846202993441,0.484848484848485,0.291666666666667,0.310344827586207,0.1,0.643835616438356,0.841463414634146,0.727272727272727,0.86046511627907,0.380952380952381,0.35,0.3,0.142857142857143,0.734375,0.802325581395349,0.736842105263158,0.804347826086957,0.380952380952381,0.35,0.3,0.142857142857143,0.484848484848485,0.291666666666667,0.310344827586207,0.1,0.426666666666667,0.318181818181818,0.305084745762712,0.117647058823529,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.150943396226415,0.0660377358490566,0.0849056603773585,0.0188679245283019,0.39622641509434,0.188679245283019,0.283018867924528,0.132075471698113,0.56434205064342,0.566565040650406,0.518808777429467,0.480232558139535
"13","Phase ~ d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","rf",252,106,5,"noProc",13,0.265873015873016,0.00524900780949941,0.320754716981132,0.0715328467153284,0.233391217085085,0.418429301265336,0.311320754716981,0.453075415473102,0.613846202993441,0.484848484848485,0.291666666666667,0.310344827586207,0.1,0.643835616438356,0.841463414634146,0.727272727272727,0.86046511627907,0.380952380952381,0.35,0.3,0.142857142857143,0.734375,0.802325581395349,0.736842105263158,0.804347826086957,0.380952380952381,0.35,0.3,0.142857142857143,0.484848484848485,0.291666666666667,0.310344827586207,0.1,0.426666666666667,0.318181818181818,0.305084745762712,0.117647058823529,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.150943396226415,0.0660377358490566,0.0849056603773585,0.0188679245283019,0.39622641509434,0.188679245283019,0.283018867924528,0.132075471698113,0.56434205064342,0.566565040650406,0.518808777429467,0.480232558139535
"14","Phase ~ d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","rf",252,106,5,"noProc",14,0.277777777777778,0.0209205020920502,0.320754716981132,0.0715328467153284,0.233391217085085,0.418429301265336,0.311320754716981,0.453075415473102,0.613846202993441,0.484848484848485,0.291666666666667,0.310344827586207,0.1,0.643835616438356,0.841463414634146,0.727272727272727,0.86046511627907,0.380952380952381,0.35,0.3,0.142857142857143,0.734375,0.802325581395349,0.736842105263158,0.804347826086957,0.380952380952381,0.35,0.3,0.142857142857143,0.484848484848485,0.291666666666667,0.310344827586207,0.1,0.426666666666667,0.318181818181818,0.305084745762712,0.117647058823529,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.150943396226415,0.0660377358490566,0.0849056603773585,0.0188679245283019,0.39622641509434,0.188679245283019,0.283018867924528,0.132075471698113,0.56434205064342,0.566565040650406,0.518808777429467,0.480232558139535
"15","Phase ~ d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","rf",252,106,5,"noProc",15,0.273809523809524,0.0175543246697913,0.320754716981132,0.0715328467153284,0.233391217085085,0.418429301265336,0.311320754716981,0.453075415473102,0.613846202993441,0.484848484848485,0.291666666666667,0.310344827586207,0.1,0.643835616438356,0.841463414634146,0.727272727272727,0.86046511627907,0.380952380952381,0.35,0.3,0.142857142857143,0.734375,0.802325581395349,0.736842105263158,0.804347826086957,0.380952380952381,0.35,0.3,0.142857142857143,0.484848484848485,0.291666666666667,0.310344827586207,0.1,0.426666666666667,0.318181818181818,0.305084745762712,0.117647058823529,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.150943396226415,0.0660377358490566,0.0849056603773585,0.0188679245283019,0.39622641509434,0.188679245283019,0.283018867924528,0.132075471698113,0.56434205064342,0.566565040650406,0.518808777429467,0.480232558139535
"16","Phase ~ d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","rf",252,106,5,"noProc",16,0.265873015873016,0.00709219858156025,0.320754716981132,0.0715328467153284,0.233391217085085,0.418429301265336,0.311320754716981,0.453075415473102,0.613846202993441,0.484848484848485,0.291666666666667,0.310344827586207,0.1,0.643835616438356,0.841463414634146,0.727272727272727,0.86046511627907,0.380952380952381,0.35,0.3,0.142857142857143,0.734375,0.802325581395349,0.736842105263158,0.804347826086957,0.380952380952381,0.35,0.3,0.142857142857143,0.484848484848485,0.291666666666667,0.310344827586207,0.1,0.426666666666667,0.318181818181818,0.305084745762712,0.117647058823529,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.150943396226415,0.0660377358490566,0.0849056603773585,0.0188679245283019,0.39622641509434,0.188679245283019,0.283018867924528,0.132075471698113,0.56434205064342,0.566565040650406,0.518808777429467,0.480232558139535
"17","Phase ~ d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","rf",252,106,5,"noProc",17,0.26984126984127,0.0109215017064846,0.320754716981132,0.0715328467153284,0.233391217085085,0.418429301265336,0.311320754716981,0.453075415473102,0.613846202993441,0.484848484848485,0.291666666666667,0.310344827586207,0.1,0.643835616438356,0.841463414634146,0.727272727272727,0.86046511627907,0.380952380952381,0.35,0.3,0.142857142857143,0.734375,0.802325581395349,0.736842105263158,0.804347826086957,0.380952380952381,0.35,0.3,0.142857142857143,0.484848484848485,0.291666666666667,0.310344827586207,0.1,0.426666666666667,0.318181818181818,0.305084745762712,0.117647058823529,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.150943396226415,0.0660377358490566,0.0849056603773585,0.0188679245283019,0.39622641509434,0.188679245283019,0.283018867924528,0.132075471698113,0.56434205064342,0.566565040650406,0.518808777429467,0.480232558139535
"18","Phase ~ d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","rf",252,106,5,"noProc",18,0.281746031746032,0.0262792733172512,0.320754716981132,0.0715328467153284,0.233391217085085,0.418429301265336,0.311320754716981,0.453075415473102,0.613846202993441,0.484848484848485,0.291666666666667,0.310344827586207,0.1,0.643835616438356,0.841463414634146,0.727272727272727,0.86046511627907,0.380952380952381,0.35,0.3,0.142857142857143,0.734375,0.802325581395349,0.736842105263158,0.804347826086957,0.380952380952381,0.35,0.3,0.142857142857143,0.484848484848485,0.291666666666667,0.310344827586207,0.1,0.426666666666667,0.318181818181818,0.305084745762712,0.117647058823529,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.150943396226415,0.0660377358490566,0.0849056603773585,0.0188679245283019,0.39622641509434,0.188679245283019,0.283018867924528,0.132075471698113,0.56434205064342,0.566565040650406,0.518808777429467,0.480232558139535
"19","Phase ~ d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","rf",252,106,5,"noProc",19,0.273809523809524,0.0164857429247798,0.320754716981132,0.0715328467153284,0.233391217085085,0.418429301265336,0.311320754716981,0.453075415473102,0.613846202993441,0.484848484848485,0.291666666666667,0.310344827586207,0.1,0.643835616438356,0.841463414634146,0.727272727272727,0.86046511627907,0.380952380952381,0.35,0.3,0.142857142857143,0.734375,0.802325581395349,0.736842105263158,0.804347826086957,0.380952380952381,0.35,0.3,0.142857142857143,0.484848484848485,0.291666666666667,0.310344827586207,0.1,0.426666666666667,0.318181818181818,0.305084745762712,0.117647058823529,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.150943396226415,0.0660377358490566,0.0849056603773585,0.0188679245283019,0.39622641509434,0.188679245283019,0.283018867924528,0.132075471698113,0.56434205064342,0.566565040650406,0.518808777429467,0.480232558139535
"20","Phase ~ d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","rf",252,106,5,"noProc",20,0.265873015873016,0.00816951748787334,0.320754716981132,0.0715328467153284,0.233391217085085,0.418429301265336,0.311320754716981,0.453075415473102,0.613846202993441,0.484848484848485,0.291666666666667,0.310344827586207,0.1,0.643835616438356,0.841463414634146,0.727272727272727,0.86046511627907,0.380952380952381,0.35,0.3,0.142857142857143,0.734375,0.802325581395349,0.736842105263158,0.804347826086957,0.380952380952381,0.35,0.3,0.142857142857143,0.484848484848485,0.291666666666667,0.310344827586207,0.1,0.426666666666667,0.318181818181818,0.305084745762712,0.117647058823529,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.150943396226415,0.0660377358490566,0.0849056603773585,0.0188679245283019,0.39622641509434,0.188679245283019,0.283018867924528,0.132075471698113,0.56434205064342,0.566565040650406,0.518808777429467,0.480232558139535
