"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"11","Phase ~ d_VV_MAX100 + d_VV_MEAN100 + d_VV_MED100 + d_VV_MIN100 + d_VV_SUM100","rf",252,106,5,"noProc",11,0.273809523809524,0.0149521531100479,0.264150943396226,-0.00327630141973059,0.1832464333146,0.358670734077493,0.311320754716981,0.876744016600639,0.463797474225202,0.424242424242424,0.166666666666667,0.310344827586207,0.05,0.657534246575342,0.804878048780488,0.701298701298701,0.837209302325581,0.358974358974359,0.2,0.28125,0.0666666666666667,0.716417910447761,0.767441860465116,0.72972972972973,0.791208791208791,0.358974358974359,0.2,0.28125,0.0666666666666667,0.424242424242424,0.166666666666667,0.310344827586207,0.05,0.388888888888889,0.181818181818182,0.295081967213115,0.0571428571428571,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.132075471698113,0.0377358490566038,0.0849056603773585,0.00943396226415094,0.367924528301887,0.188679245283019,0.30188679245283,0.141509433962264,0.540888335408883,0.485772357723577,0.505821764442454,0.443604651162791
"12","Phase ~ d_VV_MAX100 + d_VV_MEAN100 + d_VV_MED100 + d_VV_MIN100 + d_VV_SUM100","rf",252,106,5,"noProc",12,0.26984126984127,0.0104360074268519,0.264150943396226,-0.00327630141973059,0.1832464333146,0.358670734077493,0.311320754716981,0.876744016600639,0.463797474225202,0.424242424242424,0.166666666666667,0.310344827586207,0.05,0.657534246575342,0.804878048780488,0.701298701298701,0.837209302325581,0.358974358974359,0.2,0.28125,0.0666666666666667,0.716417910447761,0.767441860465116,0.72972972972973,0.791208791208791,0.358974358974359,0.2,0.28125,0.0666666666666667,0.424242424242424,0.166666666666667,0.310344827586207,0.05,0.388888888888889,0.181818181818182,0.295081967213115,0.0571428571428571,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.132075471698113,0.0377358490566038,0.0849056603773585,0.00943396226415094,0.367924528301887,0.188679245283019,0.30188679245283,0.141509433962264,0.540888335408883,0.485772357723577,0.505821764442454,0.443604651162791
"13","Phase ~ d_VV_MAX100 + d_VV_MEAN100 + d_VV_MED100 + d_VV_MIN100 + d_VV_SUM100","rf",252,106,5,"noProc",13,0.265873015873016,0.00652090525508249,0.264150943396226,-0.00327630141973059,0.1832464333146,0.358670734077493,0.311320754716981,0.876744016600639,0.463797474225202,0.424242424242424,0.166666666666667,0.310344827586207,0.05,0.657534246575342,0.804878048780488,0.701298701298701,0.837209302325581,0.358974358974359,0.2,0.28125,0.0666666666666667,0.716417910447761,0.767441860465116,0.72972972972973,0.791208791208791,0.358974358974359,0.2,0.28125,0.0666666666666667,0.424242424242424,0.166666666666667,0.310344827586207,0.05,0.388888888888889,0.181818181818182,0.295081967213115,0.0571428571428571,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.132075471698113,0.0377358490566038,0.0849056603773585,0.00943396226415094,0.367924528301887,0.188679245283019,0.30188679245283,0.141509433962264,0.540888335408883,0.485772357723577,0.505821764442454,0.443604651162791
"14","Phase ~ d_VV_MAX100 + d_VV_MEAN100 + d_VV_MED100 + d_VV_MIN100 + d_VV_SUM100","rf",252,106,5,"noProc",14,0.26984126984127,0.0104360074268519,0.264150943396226,-0.00327630141973059,0.1832464333146,0.358670734077493,0.311320754716981,0.876744016600639,0.463797474225202,0.424242424242424,0.166666666666667,0.310344827586207,0.05,0.657534246575342,0.804878048780488,0.701298701298701,0.837209302325581,0.358974358974359,0.2,0.28125,0.0666666666666667,0.716417910447761,0.767441860465116,0.72972972972973,0.791208791208791,0.358974358974359,0.2,0.28125,0.0666666666666667,0.424242424242424,0.166666666666667,0.310344827586207,0.05,0.388888888888889,0.181818181818182,0.295081967213115,0.0571428571428571,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.132075471698113,0.0377358490566038,0.0849056603773585,0.00943396226415094,0.367924528301887,0.188679245283019,0.30188679245283,0.141509433962264,0.540888335408883,0.485772357723577,0.505821764442454,0.443604651162791
"15","Phase ~ d_VV_MAX100 + d_VV_MEAN100 + d_VV_MED100 + d_VV_MIN100 + d_VV_SUM100","rf",252,106,5,"noProc",15,0.28968253968254,0.0353499711297877,0.264150943396226,-0.00327630141973059,0.1832464333146,0.358670734077493,0.311320754716981,0.876744016600639,0.463797474225202,0.424242424242424,0.166666666666667,0.310344827586207,0.05,0.657534246575342,0.804878048780488,0.701298701298701,0.837209302325581,0.358974358974359,0.2,0.28125,0.0666666666666667,0.716417910447761,0.767441860465116,0.72972972972973,0.791208791208791,0.358974358974359,0.2,0.28125,0.0666666666666667,0.424242424242424,0.166666666666667,0.310344827586207,0.05,0.388888888888889,0.181818181818182,0.295081967213115,0.0571428571428571,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.132075471698113,0.0377358490566038,0.0849056603773585,0.00943396226415094,0.367924528301887,0.188679245283019,0.30188679245283,0.141509433962264,0.540888335408883,0.485772357723577,0.505821764442454,0.443604651162791
"16","Phase ~ d_VV_MAX100 + d_VV_MEAN100 + d_VV_MED100 + d_VV_MIN100 + d_VV_SUM100","rf",252,106,5,"noProc",16,0.265873015873016,0.00448430493273544,0.264150943396226,-0.00327630141973059,0.1832464333146,0.358670734077493,0.311320754716981,0.876744016600639,0.463797474225202,0.424242424242424,0.166666666666667,0.310344827586207,0.05,0.657534246575342,0.804878048780488,0.701298701298701,0.837209302325581,0.358974358974359,0.2,0.28125,0.0666666666666667,0.716417910447761,0.767441860465116,0.72972972972973,0.791208791208791,0.358974358974359,0.2,0.28125,0.0666666666666667,0.424242424242424,0.166666666666667,0.310344827586207,0.05,0.388888888888889,0.181818181818182,0.295081967213115,0.0571428571428571,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.132075471698113,0.0377358490566038,0.0849056603773585,0.00943396226415094,0.367924528301887,0.188679245283019,0.30188679245283,0.141509433962264,0.540888335408883,0.485772357723577,0.505821764442454,0.443604651162791
"17","Phase ~ d_VV_MAX100 + d_VV_MEAN100 + d_VV_MED100 + d_VV_MIN100 + d_VV_SUM100","rf",252,106,5,"noProc",17,0.265873015873016,0.00552486187845305,0.264150943396226,-0.00327630141973059,0.1832464333146,0.358670734077493,0.311320754716981,0.876744016600639,0.463797474225202,0.424242424242424,0.166666666666667,0.310344827586207,0.05,0.657534246575342,0.804878048780488,0.701298701298701,0.837209302325581,0.358974358974359,0.2,0.28125,0.0666666666666667,0.716417910447761,0.767441860465116,0.72972972972973,0.791208791208791,0.358974358974359,0.2,0.28125,0.0666666666666667,0.424242424242424,0.166666666666667,0.310344827586207,0.05,0.388888888888889,0.181818181818182,0.295081967213115,0.0571428571428571,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.132075471698113,0.0377358490566038,0.0849056603773585,0.00943396226415094,0.367924528301887,0.188679245283019,0.30188679245283,0.141509433962264,0.540888335408883,0.485772357723577,0.505821764442454,0.443604651162791
"18","Phase ~ d_VV_MAX100 + d_VV_MEAN100 + d_VV_MED100 + d_VV_MIN100 + d_VV_SUM100","rf",252,106,5,"noProc",18,0.26984126984127,0.0130478278452992,0.264150943396226,-0.00327630141973059,0.1832464333146,0.358670734077493,0.311320754716981,0.876744016600639,0.463797474225202,0.424242424242424,0.166666666666667,0.310344827586207,0.05,0.657534246575342,0.804878048780488,0.701298701298701,0.837209302325581,0.358974358974359,0.2,0.28125,0.0666666666666667,0.716417910447761,0.767441860465116,0.72972972972973,0.791208791208791,0.358974358974359,0.2,0.28125,0.0666666666666667,0.424242424242424,0.166666666666667,0.310344827586207,0.05,0.388888888888889,0.181818181818182,0.295081967213115,0.0571428571428571,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.132075471698113,0.0377358490566038,0.0849056603773585,0.00943396226415094,0.367924528301887,0.188679245283019,0.30188679245283,0.141509433962264,0.540888335408883,0.485772357723577,0.505821764442454,0.443604651162791
"19","Phase ~ d_VV_MAX100 + d_VV_MEAN100 + d_VV_MED100 + d_VV_MIN100 + d_VV_SUM100","rf",252,106,5,"noProc",19,0.281746031746032,0.0274212119919826,0.264150943396226,-0.00327630141973059,0.1832464333146,0.358670734077493,0.311320754716981,0.876744016600639,0.463797474225202,0.424242424242424,0.166666666666667,0.310344827586207,0.05,0.657534246575342,0.804878048780488,0.701298701298701,0.837209302325581,0.358974358974359,0.2,0.28125,0.0666666666666667,0.716417910447761,0.767441860465116,0.72972972972973,0.791208791208791,0.358974358974359,0.2,0.28125,0.0666666666666667,0.424242424242424,0.166666666666667,0.310344827586207,0.05,0.388888888888889,0.181818181818182,0.295081967213115,0.0571428571428571,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.132075471698113,0.0377358490566038,0.0849056603773585,0.00943396226415094,0.367924528301887,0.188679245283019,0.30188679245283,0.141509433962264,0.540888335408883,0.485772357723577,0.505821764442454,0.443604651162791
"20","Phase ~ d_VV_MAX100 + d_VV_MEAN100 + d_VV_MED100 + d_VV_MIN100 + d_VV_SUM100","rf",252,106,5,"noProc",20,0.261904761904762,0.0012358832303431,0.264150943396226,-0.00327630141973059,0.1832464333146,0.358670734077493,0.311320754716981,0.876744016600639,0.463797474225202,0.424242424242424,0.166666666666667,0.310344827586207,0.05,0.657534246575342,0.804878048780488,0.701298701298701,0.837209302325581,0.358974358974359,0.2,0.28125,0.0666666666666667,0.716417910447761,0.767441860465116,0.72972972972973,0.791208791208791,0.358974358974359,0.2,0.28125,0.0666666666666667,0.424242424242424,0.166666666666667,0.310344827586207,0.05,0.388888888888889,0.181818181818182,0.295081967213115,0.0571428571428571,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.132075471698113,0.0377358490566038,0.0849056603773585,0.00943396226415094,0.367924528301887,0.188679245283019,0.30188679245283,0.141509433962264,0.540888335408883,0.485772357723577,0.505821764442454,0.443604651162791
