"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"11","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VV_MAX + VV_MAX_1 + d_VV_MAX","rf",252,106,13,"noProc",11,0.857142857142857,0.806616643929059,0.80188679245283,0.731289232254949,0.713247832375977,0.872981574762585,0.311320754716981,2.96893884760168e-25,NA,0.939393939393939,0.75,0.862068965517241,0.55,0.958904109589041,0.963414634146341,0.883116883116883,0.930232558139535,0.911764705882353,0.857142857142857,0.735294117647059,0.647058823529412,0.972222222222222,0.929411764705882,0.944444444444444,0.898876404494382,0.911764705882353,0.857142857142857,0.735294117647059,0.647058823529412,0.939393939393939,0.75,0.862068965517241,0.55,0.925373134328358,0.8,0.793650793650794,0.594594594594595,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.169811320754717,0.235849056603774,0.10377358490566,0.320754716981132,0.19811320754717,0.320754716981132,0.160377358490566,0.94914902449149,0.856707317073171,0.872592924317062,0.740116279069768
"12","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VV_MAX + VV_MAX_1 + d_VV_MAX","rf",252,106,13,"noProc",12,0.849206349206349,0.795772995798588,0.80188679245283,0.731289232254949,0.713247832375977,0.872981574762585,0.311320754716981,2.96893884760168e-25,NA,0.939393939393939,0.75,0.862068965517241,0.55,0.958904109589041,0.963414634146341,0.883116883116883,0.930232558139535,0.911764705882353,0.857142857142857,0.735294117647059,0.647058823529412,0.972222222222222,0.929411764705882,0.944444444444444,0.898876404494382,0.911764705882353,0.857142857142857,0.735294117647059,0.647058823529412,0.939393939393939,0.75,0.862068965517241,0.55,0.925373134328358,0.8,0.793650793650794,0.594594594594595,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.169811320754717,0.235849056603774,0.10377358490566,0.320754716981132,0.19811320754717,0.320754716981132,0.160377358490566,0.94914902449149,0.856707317073171,0.872592924317062,0.740116279069768
"13","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VV_MAX + VV_MAX_1 + d_VV_MAX","rf",252,106,13,"noProc",13,0.849206349206349,0.795733788395904,0.80188679245283,0.731289232254949,0.713247832375977,0.872981574762585,0.311320754716981,2.96893884760168e-25,NA,0.939393939393939,0.75,0.862068965517241,0.55,0.958904109589041,0.963414634146341,0.883116883116883,0.930232558139535,0.911764705882353,0.857142857142857,0.735294117647059,0.647058823529412,0.972222222222222,0.929411764705882,0.944444444444444,0.898876404494382,0.911764705882353,0.857142857142857,0.735294117647059,0.647058823529412,0.939393939393939,0.75,0.862068965517241,0.55,0.925373134328358,0.8,0.793650793650794,0.594594594594595,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.169811320754717,0.235849056603774,0.10377358490566,0.320754716981132,0.19811320754717,0.320754716981132,0.160377358490566,0.94914902449149,0.856707317073171,0.872592924317062,0.740116279069768
"14","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VV_MAX + VV_MAX_1 + d_VV_MAX","rf",252,106,13,"noProc",14,0.857142857142857,0.806806082030751,0.80188679245283,0.731289232254949,0.713247832375977,0.872981574762585,0.311320754716981,2.96893884760168e-25,NA,0.939393939393939,0.75,0.862068965517241,0.55,0.958904109589041,0.963414634146341,0.883116883116883,0.930232558139535,0.911764705882353,0.857142857142857,0.735294117647059,0.647058823529412,0.972222222222222,0.929411764705882,0.944444444444444,0.898876404494382,0.911764705882353,0.857142857142857,0.735294117647059,0.647058823529412,0.939393939393939,0.75,0.862068965517241,0.55,0.925373134328358,0.8,0.793650793650794,0.594594594594595,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.169811320754717,0.235849056603774,0.10377358490566,0.320754716981132,0.19811320754717,0.320754716981132,0.160377358490566,0.94914902449149,0.856707317073171,0.872592924317062,0.740116279069768
"15","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VV_MAX + VV_MAX_1 + d_VV_MAX","rf",252,106,13,"noProc",15,0.857142857142857,0.806711409395973,0.80188679245283,0.731289232254949,0.713247832375977,0.872981574762585,0.311320754716981,2.96893884760168e-25,NA,0.939393939393939,0.75,0.862068965517241,0.55,0.958904109589041,0.963414634146341,0.883116883116883,0.930232558139535,0.911764705882353,0.857142857142857,0.735294117647059,0.647058823529412,0.972222222222222,0.929411764705882,0.944444444444444,0.898876404494382,0.911764705882353,0.857142857142857,0.735294117647059,0.647058823529412,0.939393939393939,0.75,0.862068965517241,0.55,0.925373134328358,0.8,0.793650793650794,0.594594594594595,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.169811320754717,0.235849056603774,0.10377358490566,0.320754716981132,0.19811320754717,0.320754716981132,0.160377358490566,0.94914902449149,0.856707317073171,0.872592924317062,0.740116279069768
"16","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VV_MAX + VV_MAX_1 + d_VV_MAX","rf",252,106,13,"noProc",16,0.857142857142857,0.806674338319908,0.80188679245283,0.731289232254949,0.713247832375977,0.872981574762585,0.311320754716981,2.96893884760168e-25,NA,0.939393939393939,0.75,0.862068965517241,0.55,0.958904109589041,0.963414634146341,0.883116883116883,0.930232558139535,0.911764705882353,0.857142857142857,0.735294117647059,0.647058823529412,0.972222222222222,0.929411764705882,0.944444444444444,0.898876404494382,0.911764705882353,0.857142857142857,0.735294117647059,0.647058823529412,0.939393939393939,0.75,0.862068965517241,0.55,0.925373134328358,0.8,0.793650793650794,0.594594594594595,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.169811320754717,0.235849056603774,0.10377358490566,0.320754716981132,0.19811320754717,0.320754716981132,0.160377358490566,0.94914902449149,0.856707317073171,0.872592924317062,0.740116279069768
"17","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VV_MAX + VV_MAX_1 + d_VV_MAX","rf",252,106,13,"noProc",17,0.849206349206349,0.79587312414734,0.80188679245283,0.731289232254949,0.713247832375977,0.872981574762585,0.311320754716981,2.96893884760168e-25,NA,0.939393939393939,0.75,0.862068965517241,0.55,0.958904109589041,0.963414634146341,0.883116883116883,0.930232558139535,0.911764705882353,0.857142857142857,0.735294117647059,0.647058823529412,0.972222222222222,0.929411764705882,0.944444444444444,0.898876404494382,0.911764705882353,0.857142857142857,0.735294117647059,0.647058823529412,0.939393939393939,0.75,0.862068965517241,0.55,0.925373134328358,0.8,0.793650793650794,0.594594594594595,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.169811320754717,0.235849056603774,0.10377358490566,0.320754716981132,0.19811320754717,0.320754716981132,0.160377358490566,0.94914902449149,0.856707317073171,0.872592924317062,0.740116279069768
"18","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VV_MAX + VV_MAX_1 + d_VV_MAX","rf",252,106,13,"noProc",18,0.849206349206349,0.795733788395904,0.80188679245283,0.731289232254949,0.713247832375977,0.872981574762585,0.311320754716981,2.96893884760168e-25,NA,0.939393939393939,0.75,0.862068965517241,0.55,0.958904109589041,0.963414634146341,0.883116883116883,0.930232558139535,0.911764705882353,0.857142857142857,0.735294117647059,0.647058823529412,0.972222222222222,0.929411764705882,0.944444444444444,0.898876404494382,0.911764705882353,0.857142857142857,0.735294117647059,0.647058823529412,0.939393939393939,0.75,0.862068965517241,0.55,0.925373134328358,0.8,0.793650793650794,0.594594594594595,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.169811320754717,0.235849056603774,0.10377358490566,0.320754716981132,0.19811320754717,0.320754716981132,0.160377358490566,0.94914902449149,0.856707317073171,0.872592924317062,0.740116279069768
"19","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VV_MAX + VV_MAX_1 + d_VV_MAX","rf",252,106,13,"noProc",19,0.857142857142857,0.806806082030751,0.80188679245283,0.731289232254949,0.713247832375977,0.872981574762585,0.311320754716981,2.96893884760168e-25,NA,0.939393939393939,0.75,0.862068965517241,0.55,0.958904109589041,0.963414634146341,0.883116883116883,0.930232558139535,0.911764705882353,0.857142857142857,0.735294117647059,0.647058823529412,0.972222222222222,0.929411764705882,0.944444444444444,0.898876404494382,0.911764705882353,0.857142857142857,0.735294117647059,0.647058823529412,0.939393939393939,0.75,0.862068965517241,0.55,0.925373134328358,0.8,0.793650793650794,0.594594594594595,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.169811320754717,0.235849056603774,0.10377358490566,0.320754716981132,0.19811320754717,0.320754716981132,0.160377358490566,0.94914902449149,0.856707317073171,0.872592924317062,0.740116279069768
"20","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VV_MAX + VV_MAX_1 + d_VV_MAX","rf",252,106,13,"noProc",20,0.857142857142857,0.806674338319908,0.80188679245283,0.731289232254949,0.713247832375977,0.872981574762585,0.311320754716981,2.96893884760168e-25,NA,0.939393939393939,0.75,0.862068965517241,0.55,0.958904109589041,0.963414634146341,0.883116883116883,0.930232558139535,0.911764705882353,0.857142857142857,0.735294117647059,0.647058823529412,0.972222222222222,0.929411764705882,0.944444444444444,0.898876404494382,0.911764705882353,0.857142857142857,0.735294117647059,0.647058823529412,0.939393939393939,0.75,0.862068965517241,0.55,0.925373134328358,0.8,0.793650793650794,0.594594594594595,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.169811320754717,0.235849056603774,0.10377358490566,0.320754716981132,0.19811320754717,0.320754716981132,0.160377358490566,0.94914902449149,0.856707317073171,0.872592924317062,0.740116279069768
