"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"11","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MAX_1","rf",252,106,9,"noProc",11,0.777777777777778,0.699142966784633,0.764150943396226,0.68129885748647,0.6718297969245,0.841185792761612,0.311320754716981,1.17369401882969e-21,NA,0.909090909090909,0.666666666666667,0.793103448275862,0.6,0.972602739726027,0.926829268292683,0.87012987012987,0.918604651162791,0.9375,0.727272727272727,0.696969696969697,0.631578947368421,0.959459459459459,0.904761904761905,0.917808219178082,0.908045977011494,0.9375,0.727272727272727,0.696969696969697,0.631578947368421,0.909090909090909,0.666666666666667,0.793103448275862,0.6,0.923076923076923,0.695652173913043,0.741935483870968,0.615384615384615,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.150943396226415,0.216981132075472,0.113207547169811,0.30188679245283,0.207547169811321,0.311320754716981,0.179245283018868,0.940846824408468,0.796747967479675,0.831616659202866,0.759302325581395
"12","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MAX_1","rf",252,106,9,"noProc",12,0.777777777777778,0.698493750667664,0.764150943396226,0.68129885748647,0.6718297969245,0.841185792761612,0.311320754716981,1.17369401882969e-21,NA,0.909090909090909,0.666666666666667,0.793103448275862,0.6,0.972602739726027,0.926829268292683,0.87012987012987,0.918604651162791,0.9375,0.727272727272727,0.696969696969697,0.631578947368421,0.959459459459459,0.904761904761905,0.917808219178082,0.908045977011494,0.9375,0.727272727272727,0.696969696969697,0.631578947368421,0.909090909090909,0.666666666666667,0.793103448275862,0.6,0.923076923076923,0.695652173913043,0.741935483870968,0.615384615384615,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.150943396226415,0.216981132075472,0.113207547169811,0.30188679245283,0.207547169811321,0.311320754716981,0.179245283018868,0.940846824408468,0.796747967479675,0.831616659202866,0.759302325581395
"13","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MAX_1","rf",252,106,9,"noProc",13,0.773809523809524,0.693260442470317,0.764150943396226,0.68129885748647,0.6718297969245,0.841185792761612,0.311320754716981,1.17369401882969e-21,NA,0.909090909090909,0.666666666666667,0.793103448275862,0.6,0.972602739726027,0.926829268292683,0.87012987012987,0.918604651162791,0.9375,0.727272727272727,0.696969696969697,0.631578947368421,0.959459459459459,0.904761904761905,0.917808219178082,0.908045977011494,0.9375,0.727272727272727,0.696969696969697,0.631578947368421,0.909090909090909,0.666666666666667,0.793103448275862,0.6,0.923076923076923,0.695652173913043,0.741935483870968,0.615384615384615,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.150943396226415,0.216981132075472,0.113207547169811,0.30188679245283,0.207547169811321,0.311320754716981,0.179245283018868,0.940846824408468,0.796747967479675,0.831616659202866,0.759302325581395
"14","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MAX_1","rf",252,106,9,"noProc",14,0.78968253968254,0.715120619414287,0.764150943396226,0.68129885748647,0.6718297969245,0.841185792761612,0.311320754716981,1.17369401882969e-21,NA,0.909090909090909,0.666666666666667,0.793103448275862,0.6,0.972602739726027,0.926829268292683,0.87012987012987,0.918604651162791,0.9375,0.727272727272727,0.696969696969697,0.631578947368421,0.959459459459459,0.904761904761905,0.917808219178082,0.908045977011494,0.9375,0.727272727272727,0.696969696969697,0.631578947368421,0.909090909090909,0.666666666666667,0.793103448275862,0.6,0.923076923076923,0.695652173913043,0.741935483870968,0.615384615384615,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.150943396226415,0.216981132075472,0.113207547169811,0.30188679245283,0.207547169811321,0.311320754716981,0.179245283018868,0.940846824408468,0.796747967479675,0.831616659202866,0.759302325581395
"15","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MAX_1","rf",252,106,9,"noProc",15,0.777777777777778,0.698641838216452,0.764150943396226,0.68129885748647,0.6718297969245,0.841185792761612,0.311320754716981,1.17369401882969e-21,NA,0.909090909090909,0.666666666666667,0.793103448275862,0.6,0.972602739726027,0.926829268292683,0.87012987012987,0.918604651162791,0.9375,0.727272727272727,0.696969696969697,0.631578947368421,0.959459459459459,0.904761904761905,0.917808219178082,0.908045977011494,0.9375,0.727272727272727,0.696969696969697,0.631578947368421,0.909090909090909,0.666666666666667,0.793103448275862,0.6,0.923076923076923,0.695652173913043,0.741935483870968,0.615384615384615,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.150943396226415,0.216981132075472,0.113207547169811,0.30188679245283,0.207547169811321,0.311320754716981,0.179245283018868,0.940846824408468,0.796747967479675,0.831616659202866,0.759302325581395
"16","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MAX_1","rf",252,106,9,"noProc",16,0.781746031746032,0.704080107607234,0.764150943396226,0.68129885748647,0.6718297969245,0.841185792761612,0.311320754716981,1.17369401882969e-21,NA,0.909090909090909,0.666666666666667,0.793103448275862,0.6,0.972602739726027,0.926829268292683,0.87012987012987,0.918604651162791,0.9375,0.727272727272727,0.696969696969697,0.631578947368421,0.959459459459459,0.904761904761905,0.917808219178082,0.908045977011494,0.9375,0.727272727272727,0.696969696969697,0.631578947368421,0.909090909090909,0.666666666666667,0.793103448275862,0.6,0.923076923076923,0.695652173913043,0.741935483870968,0.615384615384615,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.150943396226415,0.216981132075472,0.113207547169811,0.30188679245283,0.207547169811321,0.311320754716981,0.179245283018868,0.940846824408468,0.796747967479675,0.831616659202866,0.759302325581395
"17","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MAX_1","rf",252,106,9,"noProc",17,0.785714285714286,0.709745536761726,0.764150943396226,0.68129885748647,0.6718297969245,0.841185792761612,0.311320754716981,1.17369401882969e-21,NA,0.909090909090909,0.666666666666667,0.793103448275862,0.6,0.972602739726027,0.926829268292683,0.87012987012987,0.918604651162791,0.9375,0.727272727272727,0.696969696969697,0.631578947368421,0.959459459459459,0.904761904761905,0.917808219178082,0.908045977011494,0.9375,0.727272727272727,0.696969696969697,0.631578947368421,0.909090909090909,0.666666666666667,0.793103448275862,0.6,0.923076923076923,0.695652173913043,0.741935483870968,0.615384615384615,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.150943396226415,0.216981132075472,0.113207547169811,0.30188679245283,0.207547169811321,0.311320754716981,0.179245283018868,0.940846824408468,0.796747967479675,0.831616659202866,0.759302325581395
"18","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MAX_1","rf",252,106,9,"noProc",18,0.765873015873016,0.682998592810541,0.764150943396226,0.68129885748647,0.6718297969245,0.841185792761612,0.311320754716981,1.17369401882969e-21,NA,0.909090909090909,0.666666666666667,0.793103448275862,0.6,0.972602739726027,0.926829268292683,0.87012987012987,0.918604651162791,0.9375,0.727272727272727,0.696969696969697,0.631578947368421,0.959459459459459,0.904761904761905,0.917808219178082,0.908045977011494,0.9375,0.727272727272727,0.696969696969697,0.631578947368421,0.909090909090909,0.666666666666667,0.793103448275862,0.6,0.923076923076923,0.695652173913043,0.741935483870968,0.615384615384615,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.150943396226415,0.216981132075472,0.113207547169811,0.30188679245283,0.207547169811321,0.311320754716981,0.179245283018868,0.940846824408468,0.796747967479675,0.831616659202866,0.759302325581395
"19","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MAX_1","rf",252,106,9,"noProc",19,0.76984126984127,0.688245206151484,0.764150943396226,0.68129885748647,0.6718297969245,0.841185792761612,0.311320754716981,1.17369401882969e-21,NA,0.909090909090909,0.666666666666667,0.793103448275862,0.6,0.972602739726027,0.926829268292683,0.87012987012987,0.918604651162791,0.9375,0.727272727272727,0.696969696969697,0.631578947368421,0.959459459459459,0.904761904761905,0.917808219178082,0.908045977011494,0.9375,0.727272727272727,0.696969696969697,0.631578947368421,0.909090909090909,0.666666666666667,0.793103448275862,0.6,0.923076923076923,0.695652173913043,0.741935483870968,0.615384615384615,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.150943396226415,0.216981132075472,0.113207547169811,0.30188679245283,0.207547169811321,0.311320754716981,0.179245283018868,0.940846824408468,0.796747967479675,0.831616659202866,0.759302325581395
"20","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MAX_1","rf",252,106,9,"noProc",20,0.777777777777778,0.699142966784633,0.764150943396226,0.68129885748647,0.6718297969245,0.841185792761612,0.311320754716981,1.17369401882969e-21,NA,0.909090909090909,0.666666666666667,0.793103448275862,0.6,0.972602739726027,0.926829268292683,0.87012987012987,0.918604651162791,0.9375,0.727272727272727,0.696969696969697,0.631578947368421,0.959459459459459,0.904761904761905,0.917808219178082,0.908045977011494,0.9375,0.727272727272727,0.696969696969697,0.631578947368421,0.909090909090909,0.666666666666667,0.793103448275862,0.6,0.923076923076923,0.695652173913043,0.741935483870968,0.615384615384615,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.150943396226415,0.216981132075472,0.113207547169811,0.30188679245283,0.207547169811321,0.311320754716981,0.179245283018868,0.940846824408468,0.796747967479675,0.831616659202866,0.759302325581395
