"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"11","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","rf",252,106,27,"noProc",11,0.785714285714286,0.709578282397131,0.773584905660377,0.694597839135654,0.682099445876385,0.849223246931142,0.311320754716981,1.60456125121863e-22,NA,0.909090909090909,0.708333333333333,0.758620689655172,0.65,0.972602739726027,0.902439024390244,0.896103896103896,0.930232558139535,0.9375,0.68,0.733333333333333,0.684210526315789,0.959459459459459,0.91358024691358,0.907894736842105,0.919540229885057,0.9375,0.68,0.733333333333333,0.684210526315789,0.909090909090909,0.708333333333333,0.758620689655172,0.65,0.923076923076923,0.693877551020408,0.745762711864407,0.666666666666667,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.160377358490566,0.207547169811321,0.122641509433962,0.30188679245283,0.235849056603774,0.283018867924528,0.179245283018868,0.940846824408468,0.805386178861789,0.827362292879534,0.790116279069767
"12","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","rf",252,106,27,"noProc",12,0.781746031746032,0.703966338452338,0.773584905660377,0.694597839135654,0.682099445876385,0.849223246931142,0.311320754716981,1.60456125121863e-22,NA,0.909090909090909,0.708333333333333,0.758620689655172,0.65,0.972602739726027,0.902439024390244,0.896103896103896,0.930232558139535,0.9375,0.68,0.733333333333333,0.684210526315789,0.959459459459459,0.91358024691358,0.907894736842105,0.919540229885057,0.9375,0.68,0.733333333333333,0.684210526315789,0.909090909090909,0.708333333333333,0.758620689655172,0.65,0.923076923076923,0.693877551020408,0.745762711864407,0.666666666666667,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.160377358490566,0.207547169811321,0.122641509433962,0.30188679245283,0.235849056603774,0.283018867924528,0.179245283018868,0.940846824408468,0.805386178861789,0.827362292879534,0.790116279069767
"13","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","rf",252,106,27,"noProc",13,0.777777777777778,0.699117308430344,0.773584905660377,0.694597839135654,0.682099445876385,0.849223246931142,0.311320754716981,1.60456125121863e-22,NA,0.909090909090909,0.708333333333333,0.758620689655172,0.65,0.972602739726027,0.902439024390244,0.896103896103896,0.930232558139535,0.9375,0.68,0.733333333333333,0.684210526315789,0.959459459459459,0.91358024691358,0.907894736842105,0.919540229885057,0.9375,0.68,0.733333333333333,0.684210526315789,0.909090909090909,0.708333333333333,0.758620689655172,0.65,0.923076923076923,0.693877551020408,0.745762711864407,0.666666666666667,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.160377358490566,0.207547169811321,0.122641509433962,0.30188679245283,0.235849056603774,0.283018867924528,0.179245283018868,0.940846824408468,0.805386178861789,0.827362292879534,0.790116279069767
"14","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","rf",252,106,27,"noProc",14,0.785714285714286,0.709720770494251,0.773584905660377,0.694597839135654,0.682099445876385,0.849223246931142,0.311320754716981,1.60456125121863e-22,NA,0.909090909090909,0.708333333333333,0.758620689655172,0.65,0.972602739726027,0.902439024390244,0.896103896103896,0.930232558139535,0.9375,0.68,0.733333333333333,0.684210526315789,0.959459459459459,0.91358024691358,0.907894736842105,0.919540229885057,0.9375,0.68,0.733333333333333,0.684210526315789,0.909090909090909,0.708333333333333,0.758620689655172,0.65,0.923076923076923,0.693877551020408,0.745762711864407,0.666666666666667,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.160377358490566,0.207547169811321,0.122641509433962,0.30188679245283,0.235849056603774,0.283018867924528,0.179245283018868,0.940846824408468,0.805386178861789,0.827362292879534,0.790116279069767
"15","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","rf",252,106,27,"noProc",15,0.785714285714286,0.709634055265123,0.773584905660377,0.694597839135654,0.682099445876385,0.849223246931142,0.311320754716981,1.60456125121863e-22,NA,0.909090909090909,0.708333333333333,0.758620689655172,0.65,0.972602739726027,0.902439024390244,0.896103896103896,0.930232558139535,0.9375,0.68,0.733333333333333,0.684210526315789,0.959459459459459,0.91358024691358,0.907894736842105,0.919540229885057,0.9375,0.68,0.733333333333333,0.684210526315789,0.909090909090909,0.708333333333333,0.758620689655172,0.65,0.923076923076923,0.693877551020408,0.745762711864407,0.666666666666667,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.160377358490566,0.207547169811321,0.122641509433962,0.30188679245283,0.235849056603774,0.283018867924528,0.179245283018868,0.940846824408468,0.805386178861789,0.827362292879534,0.790116279069767
"16","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","rf",252,106,27,"noProc",16,0.777777777777778,0.699027469715066,0.773584905660377,0.694597839135654,0.682099445876385,0.849223246931142,0.311320754716981,1.60456125121863e-22,NA,0.909090909090909,0.708333333333333,0.758620689655172,0.65,0.972602739726027,0.902439024390244,0.896103896103896,0.930232558139535,0.9375,0.68,0.733333333333333,0.684210526315789,0.959459459459459,0.91358024691358,0.907894736842105,0.919540229885057,0.9375,0.68,0.733333333333333,0.684210526315789,0.909090909090909,0.708333333333333,0.758620689655172,0.65,0.923076923076923,0.693877551020408,0.745762711864407,0.666666666666667,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.160377358490566,0.207547169811321,0.122641509433962,0.30188679245283,0.235849056603774,0.283018867924528,0.179245283018868,0.940846824408468,0.805386178861789,0.827362292879534,0.790116279069767
"17","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","rf",252,106,27,"noProc",17,0.78968253968254,0.715569563643333,0.773584905660377,0.694597839135654,0.682099445876385,0.849223246931142,0.311320754716981,1.60456125121863e-22,NA,0.909090909090909,0.708333333333333,0.758620689655172,0.65,0.972602739726027,0.902439024390244,0.896103896103896,0.930232558139535,0.9375,0.68,0.733333333333333,0.684210526315789,0.959459459459459,0.91358024691358,0.907894736842105,0.919540229885057,0.9375,0.68,0.733333333333333,0.684210526315789,0.909090909090909,0.708333333333333,0.758620689655172,0.65,0.923076923076923,0.693877551020408,0.745762711864407,0.666666666666667,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.160377358490566,0.207547169811321,0.122641509433962,0.30188679245283,0.235849056603774,0.283018867924528,0.179245283018868,0.940846824408468,0.805386178861789,0.827362292879534,0.790116279069767
"18","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","rf",252,106,27,"noProc",18,0.773809523809524,0.693502613890963,0.773584905660377,0.694597839135654,0.682099445876385,0.849223246931142,0.311320754716981,1.60456125121863e-22,NA,0.909090909090909,0.708333333333333,0.758620689655172,0.65,0.972602739726027,0.902439024390244,0.896103896103896,0.930232558139535,0.9375,0.68,0.733333333333333,0.684210526315789,0.959459459459459,0.91358024691358,0.907894736842105,0.919540229885057,0.9375,0.68,0.733333333333333,0.684210526315789,0.909090909090909,0.708333333333333,0.758620689655172,0.65,0.923076923076923,0.693877551020408,0.745762711864407,0.666666666666667,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.160377358490566,0.207547169811321,0.122641509433962,0.30188679245283,0.235849056603774,0.283018867924528,0.179245283018868,0.940846824408468,0.805386178861789,0.827362292879534,0.790116279069767
"19","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","rf",252,106,27,"noProc",19,0.777777777777778,0.699175033574215,0.773584905660377,0.694597839135654,0.682099445876385,0.849223246931142,0.311320754716981,1.60456125121863e-22,NA,0.909090909090909,0.708333333333333,0.758620689655172,0.65,0.972602739726027,0.902439024390244,0.896103896103896,0.930232558139535,0.9375,0.68,0.733333333333333,0.684210526315789,0.959459459459459,0.91358024691358,0.907894736842105,0.919540229885057,0.9375,0.68,0.733333333333333,0.684210526315789,0.909090909090909,0.708333333333333,0.758620689655172,0.65,0.923076923076923,0.693877551020408,0.745762711864407,0.666666666666667,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.160377358490566,0.207547169811321,0.122641509433962,0.30188679245283,0.235849056603774,0.283018867924528,0.179245283018868,0.940846824408468,0.805386178861789,0.827362292879534,0.790116279069767
"20","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","rf",252,106,27,"noProc",20,0.777777777777778,0.699616858237548,0.773584905660377,0.694597839135654,0.682099445876385,0.849223246931142,0.311320754716981,1.60456125121863e-22,NA,0.909090909090909,0.708333333333333,0.758620689655172,0.65,0.972602739726027,0.902439024390244,0.896103896103896,0.930232558139535,0.9375,0.68,0.733333333333333,0.684210526315789,0.959459459459459,0.91358024691358,0.907894736842105,0.919540229885057,0.9375,0.68,0.733333333333333,0.684210526315789,0.909090909090909,0.708333333333333,0.758620689655172,0.65,0.923076923076923,0.693877551020408,0.745762711864407,0.666666666666667,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.160377358490566,0.207547169811321,0.122641509433962,0.30188679245283,0.235849056603774,0.283018867924528,0.179245283018868,0.940846824408468,0.805386178861789,0.827362292879534,0.790116279069767
