"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"11","Phase ~ VV3 + diff_VV3 + VH3 + diff_VH3","rf",1676,716,4,"noProc",11,0.890811455847255,0.854415274463007,0.902234636871508,0.869646182495345,0.878095190489937,0.922993212130224,0.25,3.89322537273005e-300,NA,0.893854748603352,0.860335195530726,0.932960893854749,0.921787709497207,0.940409683426443,0.983240223463687,0.962756052141527,0.983240223463687,0.833333333333333,0.94478527607362,0.893048128342246,0.948275862068965,0.963740458015267,0.954792043399638,0.977315689981096,0.974169741697417,0.833333333333333,0.94478527607362,0.893048128342246,0.948275862068966,0.893854748603352,0.860335195530726,0.932960893854749,0.921787709497207,0.862533692722372,0.900584795321637,0.912568306010929,0.934844192634561,0.25,0.25,0.25,0.25,0.223463687150838,0.215083798882682,0.233240223463687,0.230446927374302,0.268156424581006,0.227653631284916,0.261173184357542,0.243016759776536,0.917132216014898,0.921787709497207,0.947858472998138,0.952513966480447
"12","Phase ~ VV3 + diff_VV3 + VH3 + diff_VH3","rf",1676,716,4,"noProc",12,0.890214797136038,0.853619729514718,0.902234636871508,0.869646182495345,0.878095190489937,0.922993212130224,0.25,3.89322537273005e-300,NA,0.893854748603352,0.860335195530726,0.932960893854749,0.921787709497207,0.940409683426443,0.983240223463687,0.962756052141527,0.983240223463687,0.833333333333333,0.94478527607362,0.893048128342246,0.948275862068965,0.963740458015267,0.954792043399638,0.977315689981096,0.974169741697417,0.833333333333333,0.94478527607362,0.893048128342246,0.948275862068966,0.893854748603352,0.860335195530726,0.932960893854749,0.921787709497207,0.862533692722372,0.900584795321637,0.912568306010929,0.934844192634561,0.25,0.25,0.25,0.25,0.223463687150838,0.215083798882682,0.233240223463687,0.230446927374302,0.268156424581006,0.227653631284916,0.261173184357542,0.243016759776536,0.917132216014898,0.921787709497207,0.947858472998138,0.952513966480447
"13","Phase ~ VV3 + diff_VV3 + VH3 + diff_VH3","rf",1676,716,4,"noProc",13,0.889618138424821,0.852824184566428,0.902234636871508,0.869646182495345,0.878095190489937,0.922993212130224,0.25,3.89322537273005e-300,NA,0.893854748603352,0.860335195530726,0.932960893854749,0.921787709497207,0.940409683426443,0.983240223463687,0.962756052141527,0.983240223463687,0.833333333333333,0.94478527607362,0.893048128342246,0.948275862068965,0.963740458015267,0.954792043399638,0.977315689981096,0.974169741697417,0.833333333333333,0.94478527607362,0.893048128342246,0.948275862068966,0.893854748603352,0.860335195530726,0.932960893854749,0.921787709497207,0.862533692722372,0.900584795321637,0.912568306010929,0.934844192634561,0.25,0.25,0.25,0.25,0.223463687150838,0.215083798882682,0.233240223463687,0.230446927374302,0.268156424581006,0.227653631284916,0.261173184357542,0.243016759776536,0.917132216014898,0.921787709497207,0.947858472998138,0.952513966480447
"14","Phase ~ VV3 + diff_VV3 + VH3 + diff_VH3","rf",1676,716,4,"noProc",14,0.890811455847255,0.854415274463007,0.902234636871508,0.869646182495345,0.878095190489937,0.922993212130224,0.25,3.89322537273005e-300,NA,0.893854748603352,0.860335195530726,0.932960893854749,0.921787709497207,0.940409683426443,0.983240223463687,0.962756052141527,0.983240223463687,0.833333333333333,0.94478527607362,0.893048128342246,0.948275862068965,0.963740458015267,0.954792043399638,0.977315689981096,0.974169741697417,0.833333333333333,0.94478527607362,0.893048128342246,0.948275862068966,0.893854748603352,0.860335195530726,0.932960893854749,0.921787709497207,0.862533692722372,0.900584795321637,0.912568306010929,0.934844192634561,0.25,0.25,0.25,0.25,0.223463687150838,0.215083798882682,0.233240223463687,0.230446927374302,0.268156424581006,0.227653631284916,0.261173184357542,0.243016759776536,0.917132216014898,0.921787709497207,0.947858472998138,0.952513966480447
"15","Phase ~ VV3 + diff_VV3 + VH3 + diff_VH3","rf",1676,716,4,"noProc",15,0.887828162291169,0.850437549721559,0.902234636871508,0.869646182495345,0.878095190489937,0.922993212130224,0.25,3.89322537273005e-300,NA,0.893854748603352,0.860335195530726,0.932960893854749,0.921787709497207,0.940409683426443,0.983240223463687,0.962756052141527,0.983240223463687,0.833333333333333,0.94478527607362,0.893048128342246,0.948275862068965,0.963740458015267,0.954792043399638,0.977315689981096,0.974169741697417,0.833333333333333,0.94478527607362,0.893048128342246,0.948275862068966,0.893854748603352,0.860335195530726,0.932960893854749,0.921787709497207,0.862533692722372,0.900584795321637,0.912568306010929,0.934844192634561,0.25,0.25,0.25,0.25,0.223463687150838,0.215083798882682,0.233240223463687,0.230446927374302,0.268156424581006,0.227653631284916,0.261173184357542,0.243016759776536,0.917132216014898,0.921787709497207,0.947858472998138,0.952513966480447
"16","Phase ~ VV3 + diff_VV3 + VH3 + diff_VH3","rf",1676,716,4,"noProc",16,0.889618138424821,0.852824184566428,0.902234636871508,0.869646182495345,0.878095190489937,0.922993212130224,0.25,3.89322537273005e-300,NA,0.893854748603352,0.860335195530726,0.932960893854749,0.921787709497207,0.940409683426443,0.983240223463687,0.962756052141527,0.983240223463687,0.833333333333333,0.94478527607362,0.893048128342246,0.948275862068965,0.963740458015267,0.954792043399638,0.977315689981096,0.974169741697417,0.833333333333333,0.94478527607362,0.893048128342246,0.948275862068966,0.893854748603352,0.860335195530726,0.932960893854749,0.921787709497207,0.862533692722372,0.900584795321637,0.912568306010929,0.934844192634561,0.25,0.25,0.25,0.25,0.223463687150838,0.215083798882682,0.233240223463687,0.230446927374302,0.268156424581006,0.227653631284916,0.261173184357542,0.243016759776536,0.917132216014898,0.921787709497207,0.947858472998138,0.952513966480447
"17","Phase ~ VV3 + diff_VV3 + VH3 + diff_VH3","rf",1676,716,4,"noProc",17,0.890214797136038,0.853619729514718,0.902234636871508,0.869646182495345,0.878095190489937,0.922993212130224,0.25,3.89322537273005e-300,NA,0.893854748603352,0.860335195530726,0.932960893854749,0.921787709497207,0.940409683426443,0.983240223463687,0.962756052141527,0.983240223463687,0.833333333333333,0.94478527607362,0.893048128342246,0.948275862068965,0.963740458015267,0.954792043399638,0.977315689981096,0.974169741697417,0.833333333333333,0.94478527607362,0.893048128342246,0.948275862068966,0.893854748603352,0.860335195530726,0.932960893854749,0.921787709497207,0.862533692722372,0.900584795321637,0.912568306010929,0.934844192634561,0.25,0.25,0.25,0.25,0.223463687150838,0.215083798882682,0.233240223463687,0.230446927374302,0.268156424581006,0.227653631284916,0.261173184357542,0.243016759776536,0.917132216014898,0.921787709497207,0.947858472998138,0.952513966480447
"18","Phase ~ VV3 + diff_VV3 + VH3 + diff_VH3","rf",1676,716,4,"noProc",18,0.891408114558473,0.855210819411297,0.902234636871508,0.869646182495345,0.878095190489937,0.922993212130224,0.25,3.89322537273005e-300,NA,0.893854748603352,0.860335195530726,0.932960893854749,0.921787709497207,0.940409683426443,0.983240223463687,0.962756052141527,0.983240223463687,0.833333333333333,0.94478527607362,0.893048128342246,0.948275862068965,0.963740458015267,0.954792043399638,0.977315689981096,0.974169741697417,0.833333333333333,0.94478527607362,0.893048128342246,0.948275862068966,0.893854748603352,0.860335195530726,0.932960893854749,0.921787709497207,0.862533692722372,0.900584795321637,0.912568306010929,0.934844192634561,0.25,0.25,0.25,0.25,0.223463687150838,0.215083798882682,0.233240223463687,0.230446927374302,0.268156424581006,0.227653631284916,0.261173184357542,0.243016759776536,0.917132216014898,0.921787709497207,0.947858472998138,0.952513966480447
"19","Phase ~ VV3 + diff_VV3 + VH3 + diff_VH3","rf",1676,716,4,"noProc",19,0.888424821002387,0.851233094669849,0.902234636871508,0.869646182495345,0.878095190489937,0.922993212130224,0.25,3.89322537273005e-300,NA,0.893854748603352,0.860335195530726,0.932960893854749,0.921787709497207,0.940409683426443,0.983240223463687,0.962756052141527,0.983240223463687,0.833333333333333,0.94478527607362,0.893048128342246,0.948275862068965,0.963740458015267,0.954792043399638,0.977315689981096,0.974169741697417,0.833333333333333,0.94478527607362,0.893048128342246,0.948275862068966,0.893854748603352,0.860335195530726,0.932960893854749,0.921787709497207,0.862533692722372,0.900584795321637,0.912568306010929,0.934844192634561,0.25,0.25,0.25,0.25,0.223463687150838,0.215083798882682,0.233240223463687,0.230446927374302,0.268156424581006,0.227653631284916,0.261173184357542,0.243016759776536,0.917132216014898,0.921787709497207,0.947858472998138,0.952513966480447
"20","Phase ~ VV3 + diff_VV3 + VH3 + diff_VH3","rf",1676,716,4,"noProc",20,0.888424821002387,0.851233094669849,0.902234636871508,0.869646182495345,0.878095190489937,0.922993212130224,0.25,3.89322537273005e-300,NA,0.893854748603352,0.860335195530726,0.932960893854749,0.921787709497207,0.940409683426443,0.983240223463687,0.962756052141527,0.983240223463687,0.833333333333333,0.94478527607362,0.893048128342246,0.948275862068965,0.963740458015267,0.954792043399638,0.977315689981096,0.974169741697417,0.833333333333333,0.94478527607362,0.893048128342246,0.948275862068966,0.893854748603352,0.860335195530726,0.932960893854749,0.921787709497207,0.862533692722372,0.900584795321637,0.912568306010929,0.934844192634561,0.25,0.25,0.25,0.25,0.223463687150838,0.215083798882682,0.233240223463687,0.230446927374302,0.268156424581006,0.227653631284916,0.261173184357542,0.243016759776536,0.917132216014898,0.921787709497207,0.947858472998138,0.952513966480447
